Seed, tf, trc, s
24494, 84, 32, 1
24495, 94, 36, 1
24496, 98, 40, 1
24497, 104, 32, 1
24498, 84, 34, 1
24499, 92, 34, 1
24500, 98, 44, 1
24501, 110, 44, 1
24502, 92, 40, 1
24503, 96, 38, 1
24504, 86, 40, 1
24505, 88, 32, 1
24506, 108, 44, 1
24507, 94, 48, 1
24508, 98, 36, 1
24509, 88, 40, 1
24510, 92, 34, 1
24511, 96, 40, 1
24512, 102, 40, 1
24513, 98, 42, 1
24514, 88, 34, 1
24515, 94, 34, 1
24516, 94, 38, 1
24517, 96, 32, 1
24518, 110, 52, 1
24519, 104, 40, 1
24520, 102, 40, 1
24521, 90, 50, 1
24522, 96, 36, 1
24523, 106, 42, 0
24524, 100, 48, 1
24525, 90, 44, 1
24526, 100, 44, 1
24527, 108, 44, 1
24528, 112, 42, 1
24529, 94, 40, 1
24530, 88, 34, 1
24531, 98, 32, 1
24532, 96, 34, 1
24533, 96, 46, 1
24534, 92, 36, 1
24535, 84, 30, 1
24536, 100, 48, 1
24537, 120, 46, 1
24538, 98, 44, 1
24539, 90, 44, 1
24540, 96, 52, 1
24541, 106, 40, 1
24542, 90, 50, 1
24543, 102, 32, 1
24544, 92, 32, 1
24545, 92, 30, 1
24546, 96, 38, 1
24547, 98, 44, 1
24548, 94, 34, 1
24549, 92, 48, 1
24550, 84, 38, 1
24551, 106, 48, 1
24552, 108, 42, 1
24553, 108, 48, 1
24554, 100, 48, 1
24555, 82, 20, 0
24556, 108, 46, 1
24557, 102, 40, 1
24558, 96, 44, 1
24559, 106, 38, 1
24560, 100, 38, 1
24561, 92, 32, 1
24562, 108, 46, 1
24563, 98, 32, 1
24564, 100, 36, 1
24565, 96, 32, 1
24566, 108, 42, 1
24567, 106, 56, 1
24568, 112, 48, 1
24569, 100, 40, 1
24570, 100, 32, 1
24571, 102, 50, 1
24572, 116, 52, 1
24573, 104, 42, 1
24574, 96, 34, 1
24575, 102, 48, 1
24576, 100, 38, 1
24577, 88, 34, 1
24578, 98, 42, 1
24579, 102, 44, 1
24580, 100, 40, 1
24581, 98, 32, 1
24582, 90, 30, 1
24583, 98, 38, 1
24584, 90, 30, 1
24585, 82, 28, 1
24586, 90, 28, 1
24587, 100, 38, 1
24588, 84, 26, 1
24589, 88, 36, 1
24590, 96, 36, 1
24591, 90, 38, 1
24592, 94, 40, 1
24593, 110, 36, 1
24594, 102, 28, 1
24595, 100, 40, 1
24596, 96, 50, 1
24597, 90, 40, 1
24598, 88, 38, 1
24599, 88, 30, 1
24600, 94, 38, 1
24601, 104, 40, 1
24602, 90, 30, 1
24603, 98, 34, 1
24604, 98, 48, 1
24605, 88, 34, 1
24606, 108, 44, 1
24607, 88, 36, 1
24608, 106, 34, 1
24609, 84, 26, 1
24610, 98, 30, 1
24611, 106, 36, 1
24612, 88, 26, 1
24613, 92, 30, 1
24614, 98, 40, 1
24615, 104, 32, 1
24616, 94, 42, 1
24617, 108, 44, 1
24618, 100, 40, 1
24619, 114, 44, 1
24620, 100, 40, 1
24621, 106, 36, 1
24622, 90, 38, 1
24623, 100, 40, 1
24624, 108, 42, 1
24625, 92, 34, 1
24626, 86, 40, 1
24627, 96, 34, 1
24628, 90, 36, 1
24629, 92, 38, 1
24630, 100, 36, 1
24631, 106, 36, 1
24632, 98, 38, 1
24633, 98, 40, 1
24634, 96, 40, 1
24635, 94, 40, 1
24636, 108, 42, 1
24637, 90, 40, 1
24638, 92, 34, 1
24639, 100, 32, 1
24640, 98, 40, 1
24641, 102, 38, 1
24642, 94, 42, 1
24643, 86, 28, 1
24644, 88, 30, 1
24645, 98, 46, 1
24646, 96, 40, 1
24647, 90, 36, 1
24648, 98, 42, 1
24649, 92, 38, 1
24650, 88, 32, 1
24651, 104, 48, 1
24652, 94, 46, 1
24653, 102, 42, 1
24654, 102, 40, 1
24655, 96, 44, 1
24656, 106, 54, 1
24657, 104, 38, 1
24658, 96, 44, 1
24659, 92, 30, 1
24660, 116, 38, 1
24661, 84, 40, 1
24662, 92, 38, 1
24663, 82, 38, 1
24664, 108, 42, 1
24665, 108, 46, 1
24666, 90, 42, 1
24667, 94, 40, 1
24668, 82, 34, 1
24669, 90, 34, 1
24670, 82, 38, 1
24671, 90, 42, 1
24672, 100, 38, 1
24673, 96, 36, 1
24674, 86, 26, 1
24675, 86, 36, 1
24676, 98, 36, 1
24677, 90, 34, 1
24678, 118, 58, 1
24679, 106, 44, 1
24680, 94, 50, 1
24681, 102, 44, 1
24682, 96, 38, 1
24683, 90, 36, 1
24684, 104, 34, 1
24685, 106, 40, 1
24686, 98, 42, 1
24687, 106, 40, 1
24688, 92, 42, 1
24689, 86, 36, 1
24690, 106, 52, 1
24691, 96, 40, 1
24692, 100, 40, 1
24693, 94, 40, 1
24694, 104, 48, 1
24695, 100, 32, 1
24696, 104, 50, 1
24697, 102, 38, 1
24698, 100, 32, 1
24699, 84, 32, 1
24700, 86, 36, 1
24701, 108, 44, 1
24702, 94, 32, 1
24703, 98, 36, 1
24704, 96, 42, 1
24705, 96, 54, 1
24706, 96, 34, 1
24707, 106, 50, 1
24708, 92, 44, 1
24709, 104, 48, 1
24710, 96, 40, 1
24711, 108, 44, 1
24712, 94, 32, 1
24713, 90, 32, 1
24714, 108, 42, 1
24715, 94, 38, 1
24716, 102, 44, 1
24717, 82, 32, 1
24718, 102, 48, 1
24719, 104, 44, 1
24720, 86, 32, 1
24721, 88, 34, 1
24722, 94, 36, 1
24723, 104, 54, 1
24724, 108, 46, 1
24725, 88, 46, 1
24726, 86, 32, 1
24727, 92, 40, 1
24728, 92, 42, 1
24729, 98, 38, 1
24730, 94, 32, 1
24731, 90, 30, 1
24732, 114, 48, 1
24733, 120, 50, 1
24734, 106, 38, 1
24735, 86, 36, 1
24736, 104, 38, 1
24737, 86, 38, 1
24738, 100, 30, 1
24739, 96, 42, 1
24740, 108, 50, 1
24741, 102, 52, 1
24742, 94, 32, 1
24743, 86, 28, 1
24744, 102, 36, 1
24745, 104, 42, 1
24746, 98, 46, 1
24747, 100, 38, 1
24748, 108, 36, 1
24749, 102, 48, 1
24750, 94, 32, 1
24751, 94, 50, 1
24752, 88, 40, 1
24753, 94, 42, 1
24754, 112, 42, 1
24755, 96, 32, 1
24756, 92, 38, 1
24757, 108, 42, 1
24758, 92, 40, 1
24759, 94, 34, 1
24760, 88, 26, 1
24761, 100, 36, 1
24762, 88, 46, 1
24763, 96, 42, 1
24764, 102, 36, 1
24765, 100, 38, 1
24766, 104, 34, 1
24767, 94, 40, 1
24768, 100, 50, 1
24769, 96, 42, 1
24770, 92, 38, 1
24771, 98, 40, 1
24772, 84, 44, 1
24773, 94, 44, 1
24774, 90, 38, 1
24775, 100, 46, 1
24776, 96, 30, 1
24777, 88, 38, 1
24778, 90, 36, 1
24779, 104, 46, 1
24780, 104, 42, 1
24781, 88, 34, 1
24782, 98, 34, 1
24783, 98, 46, 1
24784, 92, 38, 1
24785, 124, 56, 1
24786, 96, 36, 1
24787, 86, 40, 1
24788, 108, 46, 1
24789, 102, 40, 1
24790, 104, 48, 1
24791, 98, 36, 1
24792, 98, 40, 1
24793, 96, 38, 1
24794, 110, 48, 1
24795, 84, 30, 1
24796, 94, 34, 1
24797, 90, 34, 1
24798, 92, 36, 1
24799, 118, 44, 1
24800, 90, 30, 1
24801, 108, 48, 1
24802, 82, 24, 1
24803, 106, 46, 1
24804, 78, 38, 1
24805, 104, 46, 1
24806, 88, 36, 1
24807, 100, 44, 1
24808, 102, 50, 1
24809, 104, 42, 1
24810, 100, 50, 1
24811, 86, 36, 1
24812, 76, 28, 1
24813, 98, 34, 1
24814, 92, 46, 1
24815, 94, 32, 1
24816, 90, 38, 1
24817, 102, 34, 1
24818, 96, 36, 1
24819, 86, 38, 1
24820, 110, 52, 1
24821, 112, 36, 1
24822, 110, 38, 1
24823, 116, 44, 1
24824, 88, 28, 1
24825, 94, 36, 1
24826, 100, 48, 1
24827, 100, 26, 1
24828, 102, 40, 1
24829, 102, 42, 1
24830, 86, 36, 1
24831, 108, 46, 1
24832, 104, 44, 1
24833, 86, 40, 1
24834, 120, 50, 1
24835, 92, 34, 1
24836, 112, 38, 1
24837, 86, 36, 1
24838, 96, 34, 1
24839, 90, 36, 1
24840, 92, 32, 1
24841, 92, 38, 1
24842, 104, 36, 1
24843, 82, 28, 1
24844, 108, 32, 1
24845, 108, 44, 1
24846, 106, 40, 1
24847, 86, 32, 1
24848, 110, 50, 1
24849, 82, 36, 1
24850, 92, 42, 1
24851, 96, 44, 1
24852, 86, 38, 1
24853, 94, 44, 1
24854, 100, 38, 1
24855, 88, 38, 1
24856, 96, 34, 1
24857, 94, 28, 1
24858, 92, 36, 1
24859, 86, 38, 1
24860, 104, 46, 1
24861, 88, 40, 1
24862, 96, 44, 1
24863, 96, 26, 1
24864, 104, 42, 1
24865, 90, 32, 1
24866, 96, 48, 1
24867, 98, 36, 1
24868, 96, 34, 1
24869, 90, 32, 1
24870, 86, 38, 1
24871, 98, 34, 1
24872, 88, 36, 1
24873, 96, 32, 1
24874, 104, 38, 1
24875, 84, 36, 1
24876, 116, 42, 1
24877, 102, 34, 1
24878, 88, 36, 1
24879, 98, 40, 1
24880, 100, 48, 1
24881, 100, 42, 1
24882, 102, 38, 1
24883, 96, 40, 1
24884, 98, 38, 1
24885, 92, 32, 1
24886, 98, 46, 1
24887, 94, 24, 1
24888, 100, 32, 1
24889, 92, 28, 1
24890, 110, 38, 1
24891, 94, 40, 1
24892, 94, 30, 1
24893, 98, 42, 1
24894, 86, 46, 1
24895, 94, 32, 1
24896, 104, 38, 1
24897, 92, 42, 1
24898, 84, 38, 1
24899, 116, 48, 1
24900, 96, 38, 1
24901, 116, 48, 1
24902, 100, 48, 1
24903, 92, 32, 1
24904, 110, 44, 1
24905, 92, 36, 1
24906, 96, 36, 1
24907, 98, 48, 1
24908, 96, 38, 1
24909, 116, 50, 1
24910, 92, 38, 1
24911, 86, 24, 1
24912, 94, 32, 1
24913, 88, 28, 1
24914, 92, 42, 1
24915, 86, 36, 1
24916, 106, 34, 1
24917, 90, 34, 1
24918, 92, 32, 1
24919, 108, 44, 1
24920, 82, 28, 1
24921, 96, 38, 1
24922, 114, 48, 1
24923, 88, 40, 1
24924, 94, 28, 1
24925, 116, 42, 1
24926, 94, 46, 1
24927, 96, 52, 1
24928, 92, 44, 1
24929, 94, 34, 1
24930, 90, 42, 1
24931, 88, 32, 1
24932, 102, 36, 1
24933, 98, 32, 1
24934, 96, 36, 1
24935, 90, 38, 1
24936, 96, 36, 1
24937, 96, 40, 1
24938, 94, 38, 1
24939, 96, 36, 1
24940, 96, 28, 1
24941, 88, 44, 1
24942, 108, 50, 1
24943, 106, 34, 1
24944, 92, 32, 1
24945, 114, 42, 1
24946, 108, 58, 1
24947, 104, 42, 1
24948, 92, 48, 1
24949, 90, 40, 1
24950, 92, 44, 1
24951, 100, 28, 1
24952, 102, 42, 1
24953, 92, 26, 1
24954, 102, 40, 1
24955, 92, 42, 1
24956, 84, 34, 1
24957, 104, 36, 0
24958, 84, 34, 1
24959, 86, 44, 1
24960, 90, 40, 1
24961, 94, 42, 1
24962, 108, 60, 1
24963, 104, 42, 1
24964, 102, 34, 1
24965, 88, 30, 1
24966, 90, 34, 1
24967, 94, 36, 1
24968, 102, 46, 1
24969, 108, 36, 1
24970, 106, 42, 1
24971, 102, 42, 1
24972, 106, 48, 1
24973, 100, 38, 1
24974, 100, 42, 1
24975, 92, 30, 1
24976, 102, 42, 1
24977, 114, 60, 1
24978, 96, 26, 1
24979, 104, 42, 1
24980, 90, 34, 1
24981, 112, 38, 1
24982, 108, 40, 1
24983, 98, 48, 1
24984, 84, 34, 1
24985, 112, 38, 1
24986, 96, 46, 1
24987, 98, 36, 1
24988, 106, 44, 1
24989, 102, 30, 1
24990, 106, 36, 1
24991, 124, 54, 1
24992, 98, 44, 1
24993, 104, 48, 1
24994, 86, 40, 1
24995, 98, 48, 1
24996, 88, 24, 1
24997, 94, 40, 1
24998, 84, 22, 1
24999, 102, 38, 1
25000, 92, 44, 1
25001, 92, 36, 1
25002, 82, 36, 1
25003, 96, 38, 1
25004, 100, 42, 1
25005, 94, 40, 1
25006, 98, 46, 1
25007, 92, 28, 1
25008, 108, 46, 1
25009, 100, 38, 1
25010, 88, 38, 1
25011, 96, 44, 1
25012, 104, 38, 1
25013, 86, 38, 1
25014, 90, 34, 1
25015, 92, 42, 1
25016, 96, 38, 1
25017, 84, 30, 1
25018, 100, 32, 1
25019, 112, 48, 1
25020, 100, 44, 1
25021, 94, 40, 1
25022, 94, 34, 1
25023, 104, 38, 1
25024, 112, 42, 1
25025, 94, 38, 1
25026, 88, 40, 1
25027, 94, 36, 1
25028, 102, 38, 1
25029, 90, 36, 1
25030, 98, 42, 1
25031, 98, 44, 1
25032, 98, 54, 1
25033, 90, 30, 1
25034, 86, 40, 1
25035, 98, 42, 1
25036, 98, 36, 1
25037, 92, 32, 1
25038, 94, 34, 1
25039, 104, 40, 1
25040, 118, 46, 1
25041, 86, 34, 1
25042, 110, 42, 1
25043, 100, 40, 1
25044, 96, 36, 1
25045, 102, 44, 1
25046, 88, 38, 1
25047, 88, 30, 1
25048, 102, 40, 1
25049, 100, 34, 1
25050, 100, 44, 1
25051, 92, 36, 1
25052, 94, 40, 1
25053, 102, 42, 1
25054, 118, 46, 1
25055, 120, 54, 1
25056, 104, 32, 1
25057, 98, 28, 1
25058, 84, 34, 1
25059, 86, 32, 1
25060, 80, 38, 1
25061, 108, 36, 1
25062, 88, 34, 1
25063, 104, 48, 1
25064, 92, 34, 1
25065, 104, 38, 1
25066, 86, 30, 1
25067, 98, 44, 1
25068, 100, 36, 1
25069, 92, 40, 1
25070, 92, 40, 1
25071, 98, 40, 1
25072, 92, 48, 1
25073, 90, 36, 1
25074, 110, 44, 1
25075, 110, 42, 1
25076, 100, 28, 1
25077, 96, 46, 1
25078, 84, 28, 1
25079, 82, 42, 1
25080, 96, 32, 1
25081, 78, 18, 1
25082, 88, 32, 1
25083, 106, 44, 1
25084, 88, 38, 1
25085, 76, 38, 1
25086, 102, 34, 1
25087, 92, 48, 1
25088, 98, 40, 1
25089, 108, 36, 1
25090, 78, 34, 1
25091, 98, 38, 1
25092, 94, 34, 1
25093, 90, 26, 1
25094, 98, 34, 1
25095, 96, 46, 1
25096, 92, 42, 1
25097, 96, 34, 1
25098, 108, 38, 1
25099, 88, 34, 1
25100, 92, 34, 1
25101, 100, 52, 1
25102, 100, 44, 1
25103, 98, 28, 1
25104, 100, 46, 1
25105, 104, 38, 1
25106, 100, 52, 1
25107, 96, 40, 1
25108, 104, 38, 1
25109, 92, 38, 1
25110, 112, 50, 1
25111, 90, 36, 1
25112, 96, 34, 1
25113, 104, 34, 1
25114, 110, 38, 1
25115, 106, 42, 1
25116, 100, 42, 1
25117, 94, 32, 1
25118, 100, 32, 1
25119, 104, 42, 1
25120, 114, 44, 1
25121, 104, 26, 1
25122, 102, 32, 1
25123, 106, 52, 1
25124, 98, 40, 1
25125, 88, 26, 1
25126, 94, 46, 1
25127, 86, 36, 1
25128, 112, 44, 1
25129, 94, 38, 1
25130, 92, 40, 1
25131, 94, 44, 1
25132, 90, 34, 1
25133, 102, 46, 1
25134, 88, 40, 1
25135, 96, 32, 1
25136, 104, 42, 1
25137, 92, 38, 1
25138, 100, 36, 1
25139, 90, 46, 1
25140, 88, 30, 1
25141, 110, 44, 1
25142, 104, 38, 1
25143, 100, 44, 1
25144, 94, 36, 1
25145, 94, 40, 1
25146, 98, 42, 1
25147, 92, 42, 1
25148, 90, 42, 1
25149, 108, 46, 1
25150, 98, 38, 1
25151, 106, 40, 1
25152, 84, 32, 1
25153, 96, 36, 1
25154, 92, 40, 1
25155, 90, 40, 1
25156, 108, 46, 1
25157, 102, 40, 1
25158, 106, 36, 1
25159, 96, 40, 1
25160, 86, 32, 1
25161, 104, 42, 1
25162, 104, 44, 1
25163, 102, 42, 0
25164, 90, 32, 1
25165, 108, 42, 1
25166, 86, 28, 1
25167, 100, 46, 1
25168, 102, 38, 1
25169, 110, 42, 1
25170, 82, 26, 1
25171, 92, 40, 1
25172, 96, 38, 1
25173, 106, 40, 1
25174, 98, 40, 1
25175, 88, 28, 1
25176, 88, 32, 1
25177, 96, 48, 1
25178, 112, 42, 1
25179, 100, 36, 1
25180, 92, 34, 1
25181, 90, 36, 1
25182, 88, 38, 1
25183, 96, 44, 1
25184, 94, 40, 1
25185, 84, 38, 1
25186, 100, 32, 1
25187, 92, 30, 1
25188, 86, 34, 1
25189, 94, 46, 1
25190, 88, 42, 1
25191, 94, 48, 1
25192, 118, 48, 1
25193, 100, 42, 1
25194, 96, 30, 1
25195, 84, 28, 1
25196, 90, 36, 1
25197, 92, 42, 1
25198, 94, 36, 1
25199, 104, 40, 1
25200, 98, 36, 1
25201, 90, 34, 1
25202, 98, 46, 1
25203, 102, 42, 1
25204, 88, 40, 1
25205, 92, 34, 1
25206, 96, 38, 1
25207, 94, 32, 1
25208, 96, 34, 1
25209, 96, 46, 1
25210, 94, 30, 1
25211, 96, 34, 1
25212, 104, 32, 1
25213, 96, 42, 1
25214, 100, 42, 1
25215, 106, 40, 1
25216, 96, 38, 1
25217, 100, 42, 1
25218, 90, 42, 1
25219, 102, 40, 1
25220, 116, 50, 1
25221, 106, 52, 1
25222, 102, 38, 1
25223, 104, 48, 1
25224, 98, 44, 1
25225, 100, 42, 1
25226, 114, 42, 1
25227, 100, 46, 1
25228, 116, 46, 1
25229, 86, 28, 1
25230, 102, 48, 1
25231, 84, 36, 1
25232, 92, 36, 1
25233, 92, 34, 1
25234, 102, 42, 1
25235, 106, 44, 1
25236, 98, 38, 1
25237, 86, 40, 1
25238, 98, 36, 1
25239, 86, 32, 1
25240, 96, 40, 1
25241, 96, 34, 1
25242, 92, 36, 1
25243, 96, 38, 1
25244, 92, 34, 1
25245, 94, 42, 1
25246, 86, 34, 1
25247, 100, 42, 1
25248, 96, 38, 1
25249, 94, 42, 1
25250, 88, 30, 1
25251, 92, 34, 1
25252, 94, 40, 1
25253, 96, 46, 1
25254, 90, 42, 1
25255, 88, 44, 1
25256, 98, 44, 1
25257, 100, 40, 1
25258, 96, 34, 1
25259, 92, 38, 1
25260, 104, 42, 1
25261, 90, 38, 1
25262, 108, 42, 1
25263, 90, 42, 1
25264, 96, 40, 1
25265, 96, 36, 1
25266, 88, 36, 1
25267, 110, 46, 1
25268, 94, 40, 1
25269, 92, 42, 1
25270, 88, 44, 1
25271, 88, 32, 1
25272, 96, 36, 1
25273, 104, 38, 1
25274, 96, 40, 1
25275, 98, 42, 1
25276, 82, 28, 1
25277, 88, 32, 1
25278, 90, 30, 1
25279, 78, 40, 1
25280, 106, 44, 1
25281, 102, 46, 1
25282, 104, 50, 1
25283, 82, 42, 1
25284, 90, 30, 1
25285, 110, 40, 1
25286, 110, 36, 1
25287, 106, 44, 1
25288, 88, 34, 1
25289, 98, 36, 1
25290, 88, 28, 1
25291, 94, 44, 1
25292, 92, 30, 1
25293, 94, 30, 1
25294, 98, 36, 1
25295, 92, 34, 1
25296, 82, 28, 1
25297, 122, 42, 1
25298, 112, 40, 1
25299, 86, 44, 1
25300, 92, 34, 1
25301, 98, 36, 1
25302, 104, 44, 1
25303, 106, 42, 1
25304, 86, 30, 1
25305, 100, 44, 1
25306, 92, 44, 1
25307, 98, 36, 1
25308, 92, 30, 1
25309, 98, 42, 1
25310, 84, 34, 1
25311, 92, 32, 1
25312, 92, 36, 1
25313, 96, 40, 1
25314, 102, 50, 1
25315, 94, 44, 1
25316, 98, 46, 1
25317, 110, 40, 1
25318, 94, 38, 1
25319, 100, 40, 1
25320, 94, 32, 1
25321, 88, 44, 1
25322, 96, 40, 1
25323, 94, 34, 1
25324, 94, 30, 1
25325, 102, 44, 1
25326, 92, 36, 1
25327, 102, 44, 1
25328, 94, 38, 1
25329, 92, 32, 1
25330, 90, 44, 1
25331, 100, 46, 1
25332, 98, 34, 1
25333, 96, 44, 1
25334, 98, 42, 1
25335, 100, 36, 1
25336, 100, 46, 1
25337, 110, 38, 1
25338, 100, 36, 1
25339, 96, 34, 1
25340, 94, 38, 1
25341, 104, 40, 1
25342, 84, 42, 1
25343, 100, 44, 1
25344, 106, 46, 1
25345, 106, 34, 1
25346, 92, 50, 1
25347, 86, 36, 1
25348, 100, 42, 1
25349, 100, 36, 1
25350, 102, 36, 1
25351, 100, 54, 1
25352, 102, 40, 1
25353, 118, 48, 1
25354, 94, 36, 1
25355, 92, 38, 1
25356, 92, 34, 1
25357, 98, 42, 1
25358, 98, 42, 1
25359, 90, 30, 1
25360, 92, 36, 1
25361, 100, 40, 1
25362, 90, 30, 1
25363, 94, 38, 1
25364, 98, 34, 1
25365, 92, 36, 1
25366, 96, 42, 1
25367, 86, 40, 1
25368, 114, 48, 1
25369, 84, 36, 1
25370, 92, 30, 1
25371, 108, 54, 1
25372, 94, 36, 1
25373, 100, 42, 1
25374, 112, 46, 1
25375, 98, 36, 1
25376, 96, 32, 1
25377, 100, 32, 1
25378, 90, 36, 1
25379, 102, 38, 1
25380, 104, 50, 1
25381, 92, 30, 1
25382, 90, 48, 1
25383, 102, 38, 1
25384, 84, 26, 1
25385, 88, 42, 1
25386, 98, 40, 1
25387, 102, 34, 1
25388, 96, 32, 1
25389, 94, 38, 1
25390, 112, 48, 1
25391, 96, 44, 1
25392, 106, 54, 1
25393, 102, 40, 1
25394, 90, 36, 1
25395, 110, 48, 1
25396, 96, 36, 1
25397, 100, 40, 1
25398, 104, 44, 1
25399, 104, 40, 1
25400, 94, 40, 1
25401, 90, 32, 1
25402, 92, 32, 1
25403, 88, 26, 1
25404, 92, 38, 1
25405, 96, 34, 1
25406, 112, 44, 1
25407, 98, 44, 1
25408, 86, 34, 1
25409, 98, 28, 1
25410, 100, 42, 1
25411, 108, 36, 1
25412, 98, 50, 1
25413, 94, 42, 1
25414, 102, 38, 1
25415, 112, 42, 1
25416, 86, 32, 1
25417, 106, 46, 1
25418, 96, 40, 1
25419, 102, 44, 1
25420, 106, 40, 1
25421, 100, 34, 1
25422, 104, 44, 1
25423, 92, 42, 1
25424, 96, 44, 1
25425, 96, 48, 1
25426, 102, 42, 1
25427, 96, 40, 1
25428, 102, 44, 1
25429, 100, 40, 1
25430, 102, 42, 1
25431, 90, 26, 1
25432, 96, 30, 1
25433, 90, 32, 1
25434, 90, 32, 1
25435, 86, 30, 1
25436, 84, 42, 1
25437, 118, 50, 1
25438, 94, 38, 0
25439, 92, 34, 1
25440, 102, 44, 1
25441, 98, 42, 1
25442, 112, 42, 1
25443, 100, 38, 1
25444, 98, 40, 1
25445, 78, 36, 1
25446, 114, 42, 1
25447, 98, 30, 1
25448, 90, 30, 1
25449, 96, 40, 1
25450, 114, 44, 1
25451, 90, 42, 1
25452, 96, 50, 1
25453, 104, 40, 1
25454, 94, 38, 1
25455, 100, 28, 1
25456, 90, 30, 1
25457, 88, 34, 1
25458, 88, 36, 1
25459, 98, 48, 1
25460, 92, 38, 1
25461, 90, 42, 1
25462, 92, 34, 1
25463, 98, 34, 1
25464, 96, 38, 1
25465, 98, 28, 1
25466, 92, 36, 1
25467, 94, 34, 1
25468, 90, 40, 1
25469, 102, 46, 1
25470, 82, 34, 1
25471, 106, 46, 1
25472, 98, 46, 1
25473, 82, 36, 1
25474, 90, 30, 1
25475, 104, 40, 1
25476, 90, 34, 1
25477, 96, 38, 1
25478, 98, 30, 1
25479, 90, 36, 1
25480, 80, 28, 1
25481, 104, 46, 1
25482, 80, 26, 0
25483, 98, 44, 1
25484, 92, 40, 1
25485, 102, 42, 1
25486, 96, 28, 1
25487, 120, 46, 1
25488, 94, 38, 1
25489, 96, 42, 1
25490, 98, 40, 1
25491, 98, 42, 1
25492, 102, 32, 1
25493, 104, 48, 1
25494, 106, 46, 1
25495, 92, 46, 1
25496, 86, 42, 1
25497, 110, 42, 1
25498, 96, 36, 1
25499, 92, 38, 1
25500, 96, 44, 1
25501, 98, 38, 1
25502, 96, 28, 1
25503, 94, 34, 1
25504, 98, 34, 1
25505, 94, 38, 1
25506, 94, 46, 1
25507, 80, 28, 1
25508, 86, 32, 1
25509, 100, 38, 1
25510, 92, 32, 1
25511, 92, 42, 1
25512, 102, 48, 1
25513, 90, 38, 1
25514, 110, 36, 1
25515, 94, 40, 1
25516, 90, 28, 1
25517, 104, 36, 1
25518, 98, 34, 1
25519, 100, 48, 1
25520, 110, 46, 1
25521, 90, 36, 1
25522, 110, 42, 1
25523, 98, 54, 1
25524, 86, 36, 1
25525, 86, 36, 1
25526, 100, 36, 1
25527, 102, 34, 1
25528, 96, 50, 1
25529, 88, 36, 1
25530, 94, 32, 1
25531, 80, 26, 1
25532, 102, 34, 1
25533, 96, 36, 1
25534, 104, 40, 1
25535, 92, 38, 1
25536, 112, 50, 1
25537, 112, 54, 1
25538, 100, 38, 1
25539, 102, 38, 1
25540, 96, 36, 1
25541, 104, 42, 1
25542, 100, 46, 1
25543, 98, 28, 1
25544, 104, 46, 1
25545, 82, 24, 1
25546, 98, 40, 1
25547, 108, 42, 1
25548, 94, 32, 1
25549, 116, 52, 1
25550, 96, 42, 1
25551, 100, 48, 1
25552, 90, 46, 1
25553, 86, 34, 1
25554, 96, 34, 1
25555, 92, 26, 1
25556, 96, 34, 1
25557, 98, 46, 1
25558, 90, 36, 1
25559, 94, 40, 1
25560, 90, 40, 1
25561, 104, 38, 1
25562, 102, 50, 1
25563, 108, 42, 1
25564, 96, 38, 1
25565, 110, 56, 1
25566, 82, 34, 1
25567, 94, 42, 1
25568, 88, 38, 1
25569, 104, 40, 1
25570, 104, 36, 1
25571, 92, 42, 1
25572, 86, 38, 1
25573, 106, 44, 1
25574, 94, 36, 1
25575, 98, 32, 1
25576, 88, 34, 1
25577, 94, 30, 1
25578, 86, 30, 1
25579, 84, 30, 1
25580, 92, 36, 1
25581, 96, 40, 1
25582, 102, 50, 1
25583, 98, 40, 1
25584, 90, 34, 1
25585, 116, 44, 1
25586, 90, 38, 1
25587, 96, 38, 1
25588, 88, 40, 1
25589, 94, 32, 1
25590, 100, 38, 1
25591, 90, 26, 1
25592, 82, 40, 1
25593, 110, 40, 1
25594, 106, 50, 1
25595, 100, 34, 1
25596, 98, 38, 1
25597, 106, 44, 1
25598, 92, 46, 1
25599, 98, 34, 1
25600, 96, 40, 1
25601, 98, 40, 1
25602, 92, 26, 1
25603, 90, 26, 1
25604, 90, 30, 1
25605, 98, 32, 1
25606, 98, 52, 1
25607, 110, 48, 1
25608, 110, 46, 1
25609, 102, 36, 1
25610, 86, 36, 1
25611, 96, 32, 1
25612, 104, 48, 1
25613, 94, 26, 1
25614, 84, 38, 1
25615, 96, 42, 1
25616, 100, 40, 1
25617, 94, 40, 1
25618, 86, 46, 1
25619, 96, 32, 1
25620, 94, 32, 1
25621, 100, 42, 1
25622, 92, 40, 1
25623, 102, 38, 1
25624, 108, 36, 1
25625, 96, 36, 1
25626, 98, 38, 1
25627, 122, 50, 1
25628, 116, 56, 1
25629, 106, 50, 1
25630, 92, 40, 1
25631, 98, 38, 1
25632, 86, 40, 1
25633, 100, 46, 1
25634, 94, 36, 1
25635, 102, 42, 1
25636, 108, 50, 1
25637, 110, 50, 1
25638, 116, 42, 1
25639, 108, 46, 1
25640, 98, 28, 1
25641, 98, 38, 1
25642, 104, 38, 1
25643, 94, 26, 1
25644, 106, 46, 1
25645, 92, 26, 1
25646, 94, 40, 1
25647, 98, 36, 1
25648, 98, 32, 1
25649, 92, 38, 1
25650, 92, 40, 1
25651, 100, 48, 1
25652, 96, 38, 1
25653, 112, 52, 1
25654, 98, 44, 1
25655, 114, 50, 1
25656, 110, 42, 1
25657, 86, 28, 1
25658, 104, 44, 1
