Seed, tf, trc, s
21126, 94, 46, 1
21127, 102, 48, 1
21128, 88, 36, 1
21129, 94, 50, 1
21130, 100, 30, 1
21131, 88, 30, 1
21132, 122, 42, 1
21133, 104, 32, 1
21134, 102, 38, 1
21135, 84, 30, 1
21136, 98, 26, 1
21137, 88, 46, 1
21138, 92, 36, 1
21139, 96, 36, 1
21140, 96, 40, 1
21141, 96, 36, 1
21142, 90, 34, 1
21143, 94, 40, 1
21144, 94, 30, 1
21145, 92, 34, 1
21146, 106, 54, 1
21147, 86, 32, 1
21148, 90, 40, 1
21149, 104, 36, 1
21150, 100, 38, 1
21151, 100, 44, 1
21152, 102, 54, 1
21153, 104, 52, 1
21154, 116, 54, 1
21155, 92, 42, 1
21156, 90, 44, 1
21157, 92, 36, 1
21158, 88, 22, 1
21159, 94, 40, 1
21160, 94, 38, 1
21161, 102, 30, 1
21162, 88, 34, 1
21163, 104, 38, 1
21164, 88, 28, 1
21165, 104, 46, 1
21166, 102, 48, 1
21167, 96, 42, 1
21168, 104, 34, 1
21169, 100, 48, 1
21170, 88, 44, 1
21171, 90, 40, 1
21172, 86, 30, 1
21173, 82, 32, 1
21174, 88, 36, 1
21175, 106, 44, 1
21176, 90, 42, 1
21177, 84, 40, 1
21178, 110, 46, 1
21179, 96, 38, 1
21180, 94, 40, 1
21181, 84, 38, 1
21182, 94, 42, 1
21183, 88, 34, 1
21184, 86, 44, 1
21185, 114, 40, 1
21186, 84, 32, 1
21187, 114, 48, 1
21188, 92, 40, 1
21189, 86, 34, 1
21190, 94, 40, 1
21191, 116, 46, 1
21192, 114, 42, 1
21193, 126, 56, 1
21194, 86, 34, 1
21195, 102, 40, 1
21196, 96, 50, 1
21197, 98, 38, 1
21198, 118, 50, 1
21199, 94, 36, 1
21200, 108, 54, 1
21201, 92, 34, 1
21202, 100, 34, 1
21203, 100, 36, 1
21204, 104, 40, 1
21205, 102, 34, 1
21206, 112, 42, 1
21207, 90, 32, 1
21208, 86, 34, 1
21209, 104, 42, 1
21210, 92, 32, 1
21211, 102, 44, 1
21212, 94, 30, 1
21213, 106, 30, 1
21214, 94, 46, 1
21215, 94, 30, 1
21216, 102, 46, 1
21217, 100, 40, 1
21218, 96, 48, 1
21219, 96, 34, 1
21220, 114, 46, 1
21221, 100, 36, 1
21222, 82, 28, 1
21223, 94, 36, 1
21224, 110, 52, 1
21225, 96, 46, 1
21226, 98, 36, 1
21227, 96, 36, 1
21228, 104, 38, 1
21229, 98, 46, 1
21230, 108, 42, 1
21231, 106, 46, 1
21232, 98, 44, 1
21233, 92, 46, 1
21234, 106, 42, 1
21235, 82, 34, 1
21236, 106, 46, 1
21237, 92, 40, 1
21238, 94, 44, 1
21239, 104, 48, 1
21240, 108, 38, 1
21241, 94, 34, 1
21242, 98, 38, 1
21243, 100, 38, 1
21244, 106, 34, 1
21245, 106, 40, 1
21246, 104, 40, 1
21247, 90, 28, 1
21248, 84, 34, 1
21249, 96, 42, 1
21250, 84, 38, 1
21251, 94, 30, 1
21252, 92, 36, 1
21253, 88, 34, 1
21254, 102, 38, 1
21255, 108, 36, 1
21256, 96, 38, 1
21257, 98, 32, 1
21258, 96, 44, 1
21259, 92, 36, 1
21260, 92, 30, 1
21261, 104, 44, 1
21262, 94, 44, 1
21263, 102, 46, 1
21264, 94, 32, 1
21265, 94, 34, 1
21266, 106, 42, 1
21267, 98, 34, 1
21268, 94, 42, 1
21269, 88, 30, 1
21270, 100, 40, 1
21271, 88, 40, 1
21272, 94, 36, 1
21273, 98, 40, 1
21274, 84, 28, 1
21275, 92, 38, 1
21276, 92, 34, 1
21277, 90, 32, 1
21278, 96, 40, 1
21279, 96, 32, 1
21280, 102, 34, 1
21281, 98, 40, 1
21282, 88, 38, 1
21283, 106, 46, 1
21284, 86, 26, 1
21285, 84, 26, 1
21286, 86, 34, 1
21287, 92, 34, 1
21288, 88, 32, 1
21289, 106, 40, 1
21290, 90, 40, 1
21291, 96, 32, 1
21292, 112, 42, 1
21293, 94, 30, 1
21294, 98, 42, 1
21295, 102, 50, 1
21296, 92, 32, 1
21297, 102, 38, 1
21298, 82, 30, 1
21299, 94, 42, 1
21300, 92, 38, 1
21301, 106, 48, 1
21302, 92, 42, 1
21303, 86, 32, 1
21304, 98, 42, 1
21305, 88, 38, 1
21306, 92, 36, 1
21307, 96, 40, 1
21308, 98, 36, 1
21309, 98, 40, 1
21310, 86, 44, 1
21311, 102, 32, 1
21312, 80, 24, 1
21313, 96, 34, 1
21314, 94, 32, 1
21315, 84, 44, 1
21316, 78, 38, 1
21317, 88, 40, 1
21318, 96, 36, 1
21319, 112, 48, 1
21320, 108, 38, 1
21321, 94, 38, 1
21322, 98, 28, 1
21323, 92, 50, 1
21324, 96, 38, 1
21325, 112, 46, 1
21326, 88, 32, 1
21327, 114, 48, 1
21328, 86, 32, 1
21329, 108, 50, 1
21330, 102, 32, 1
21331, 88, 40, 1
21332, 100, 40, 1
21333, 106, 36, 1
21334, 104, 40, 1
21335, 98, 34, 1
21336, 90, 26, 1
21337, 98, 28, 1
21338, 114, 48, 1
21339, 98, 48, 1
21340, 94, 38, 1
21341, 100, 42, 1
